"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"AlaaAbdelnaby","POR","30","F","6-10","240 lbs","Duke","USA","76001"
"ZaidAbdul-Aziz","HOU","54","C","6-9","235 lbs","Iowa State","USA","76002"
"KareemAbdul-Jabbar","LAL","33","C","7-2","225 lbs","UCLA","USA","76003"
"MahmoudAbdul-Rauf","DEN","1","G","6-1","162 lbs","Louisiana State","USA","51"
"TariqAbdul-Wahad","SAC","9","F-G","6-6","235 lbs","San Jose State","France","1505"
"ShareefAbdur-Rahim","MEM","3","F","6-9","245 lbs","California","USA","949"
"TomAbernethy","GSW","5","F","6-7","220 lbs","Indiana","USA","76005"
"ForestAble","PHI","6","G","6-3","180 lbs","Western Kentucky","USA","76006"
"JohnAbramovic","PIT","","F","6-3","195 lbs","Salem","USA","76007"
"AlexAbrines","OKC","8","G","6-6","190 lbs","FC Barcelona","Spain","203518"
"PreciousAchiuwa","TOR","5","F","6-8","225 lbs","Memphis","Nigeria","1630173"
"AlexAcker","LAC","3","G","6-5","185 lbs","Pepperdine","USA","101165"
"DonaldAckerman","NYK","","G","6-0","183 lbs","Long Island-Brooklyn","USA","76008"
"MarkAcres","ORL","42","C","6-11","220 lbs","Oral Roberts","USA","76009"
"CharlesActon","HOU","24","F","6-6","210 lbs","Hillsdale","USA","76010"
"QuincyAcy","SAC","13","F","6-7","240 lbs","Baylor","USA","203112"
"AlvanAdams","PHX","33","C","6-9","210 lbs","Oklahoma","USA","76011"
"DonAdams","DET","10","F","6-7","210 lbs","Northwestern","USA","76012"
"HassanAdams","BKN","8","F","6-4","220 lbs","Arizona","USA","200801"
"JaylenAdams","ATL","10","G","6-0","225 lbs","St. Bonaventure","USA","1629121"
"JordanAdams","MEM","3","G","6-5","209 lbs","UCLA","USA","203919"
"MichaelAdams","DEN","23","G","5-10","165 lbs","Boston College","USA","149"
"StevenAdams","MEM","4","C","6-11","265 lbs","Pittsburgh","New Zealand","203500"
"RafaelAddison","BKN","7","F","6-8","241 lbs","Syracuse","USA","912"
"BamAdebayo","MIA","13","C-F","6-9","255 lbs","Kentucky","USA","1628389"
"DengAdel","CLE","32","F","6-7","200 lbs","Louisville","South Sudan","1629061"
"RickAdelman","POR","5","G","6-2","175 lbs","Loyola-Marymount","USA","76015"
"JeffAdrien","CHA","12","F","6-7","245 lbs","Connecticut","USA","202399"
"ArronAfflalo","DEN","4","G","6-5","210 lbs","UCLA","USA","201167"
"OchaiAgbaji","UTA","30","G","6-5","215 lbs","Kansas","USA","1630534"
"MauriceAger","DAL","13","F-G","6-5","202 lbs","Michigan State","USA","200772"
"MarkAguirre","DAL","7","F","6-6","232 lbs","DePaul","USA","76016"
"BlakeAhearn","MIA","2","G","6-2","190 lbs","Missouri State","USA","201336"
"DannyAinge","BOS","22","G","6-5","175 lbs","Brigham Young","USA","76017"
"AlexisAjinca","NOP","42","C","7-2","248 lbs","Hyeres-Toulon","France","201582"
"HenryAkin","NYK","10","C","6-10","225 lbs","Morehead State","USA","76018"
"JoshAkognon","DAL","10","G","5-11","185 lbs","California State-Fullerton","USA","203006"
"DeVaughnAkoon-Purcell","DEN","44","G","6-5","201 lbs","Illinois State","Trinidad and Tobago","1629152"
"SolomonAlabi","TOR","50","C","7-1","252 lbs","Florida State","Nigeria","202374"
"MarkAlarie","WAS","31","F","6-8","217 lbs","Duke","USA","76019"
"GaryAlcorn","DET","24","C","6-9","225 lbs","Fresno State","USA","76020"
"SantiAldama","MEM","7","F-C","6-11","215 lbs","Loyola-Maryland","Spain","1630583"
"FurkanAldemir","PHI","19","F-C","6-10","240 lbs","Galatasaray","Turkey","203128"
"ColeAldrich","NYK","45","C","6-11","253 lbs","Kansas","USA","202332"
"LaMarcusAldridge","BKN","21","C-F","6-11","250 lbs","Texas-Austin","USA","200746"
"ChuckAleksinas","GSW","50","C","6-11","260 lbs","Connecticut","USA","76021"
"CliffAlexander","POR","34","F","6-8","240 lbs","Kansas","USA","1626146"
"CoryAlexander","SAS","12","G","6-1","190 lbs","Virginia","USA","724"
"CourtneyAlexander","WAS","32","G","6-5","205 lbs","Fresno State","USA","2042"
"GaryAlexander","CLE","16","F","6-7","240 lbs","South Florida","USA","76022"
"JoeAlexander","MIL","20","F","6-8","230 lbs","West Virginia","USA","201570"
"KyleAlexander","MIA","17","F-C","6-10","216 lbs","Tennessee","Canada","1629734"
